short_name;character;unicode;styles;keyword;categories
abacus;;f640;regular;abacus;
acorn;;f6ae;regular;acorn;
ad;;f641;regular;ad;
address-book;;f2b9;regular;address-book;
address-card;;f2bb;regular;address-card;
adjust;;f042;regular;adjust;
air-conditioner;;f8f4;regular;air-conditioner;
air-freshener;;f5d0;regular;air-freshener;
alarm-clock;;f34e;regular;alarm-clock;
alarm-exclamation;;f843;regular;alarm-exclamation;
alarm-plus;;f844;regular;alarm-plus;
alarm-snooze;;f845;regular;alarm-snooze;
album;;f89f;regular;album;
album-collection;;f8a0;regular;album-collection;
alicorn;;f6b0;regular;alicorn;
alien;;f8f5;regular;alien;
alien-monster;;f8f6;regular;alien-monster;
align-center;;f037;regular;align-center;
align-justify;;f039;regular;align-justify;
align-left;;f036;regular;align-left;
align-right;;f038;regular;align-right;
align-slash;;f846;regular;align-slash;
allergies;;f461;regular;allergies;
ambulance;;f0f9;regular;ambulance;
american-sign-language-interpreting;;f2a3;regular;american-sign-language-interpreting;
amp-guitar;;f8a1;regular;amp-guitar;
analytics;;f643;regular;analytics;
anchor;;f13d;regular;anchor;
angel;;f779;regular;angel;
angle-double-down;;f103;regular;angle-double-down;
angle-double-left;;f100;regular;angle-double-left;
angle-double-right;;f101;regular;angle-double-right;
angle-double-up;;f102;regular;angle-double-up;
angle-down;;f107;regular;angle-down;
angle-left;;f104;regular;angle-left;
angle-right;;f105;regular;angle-right;
angle-up;;f106;regular;angle-up;
angry;;f556;regular;angry;
ankh;;f644;regular;ankh;
apple-alt;;f5d1;regular;apple-alt;
apple-crate;;f6b1;regular;apple-crate;
archive;;f187;regular;archive;
archway;;f557;regular;archway;
arrow-alt-circle-down;;f358;regular;arrow-alt-circle-down;
arrow-alt-circle-left;;f359;regular;arrow-alt-circle-left;
arrow-alt-circle-right;;f35a;regular;arrow-alt-circle-right;
arrow-alt-circle-up;;f35b;regular;arrow-alt-circle-up;
arrow-alt-down;;f354;regular;arrow-alt-down;
arrow-alt-from-bottom;;f346;regular;arrow-alt-from-bottom;
arrow-alt-from-left;;f347;regular;arrow-alt-from-left;
arrow-alt-from-right;;f348;regular;arrow-alt-from-right;
arrow-alt-from-top;;f349;regular;arrow-alt-from-top;
arrow-alt-left;;f355;regular;arrow-alt-left;
arrow-alt-right;;f356;regular;arrow-alt-right;
arrow-alt-square-down;;f350;regular;arrow-alt-square-down;
arrow-alt-square-left;;f351;regular;arrow-alt-square-left;
arrow-alt-square-right;;f352;regular;arrow-alt-square-right;
arrow-alt-square-up;;f353;regular;arrow-alt-square-up;
arrow-alt-to-bottom;;f34a;regular;arrow-alt-to-bottom;
arrow-alt-to-left;;f34b;regular;arrow-alt-to-left;
arrow-alt-to-right;;f34c;regular;arrow-alt-to-right;
arrow-alt-to-top;;f34d;regular;arrow-alt-to-top;
arrow-alt-up;;f357;regular;arrow-alt-up;
arrow-circle-down;;f0ab;regular;arrow-circle-down;
arrow-circle-left;;f0a8;regular;arrow-circle-left;
arrow-circle-right;;f0a9;regular;arrow-circle-right;
arrow-circle-up;;f0aa;regular;arrow-circle-up;
arrow-down;;f063;regular;arrow-down;
arrow-from-bottom;;f342;regular;arrow-from-bottom;
arrow-from-left;;f343;regular;arrow-from-left;
arrow-from-right;;f344;regular;arrow-from-right;
arrow-from-top;;f345;regular;arrow-from-top;
arrow-left;;f060;regular;arrow-left;
arrow-right;;f061;regular;arrow-right;
arrow-square-down;;f339;regular;arrow-square-down;
arrow-square-left;;f33a;regular;arrow-square-left;
arrow-square-right;;f33b;regular;arrow-square-right;
arrow-square-up;;f33c;regular;arrow-square-up;
